Year,GDPgrowth,GDP,GDPpercapita
2000,3.437471629,1.66E+12,28149.87001
2001,2.974363653,1.64E+12,27744.50646
2002,2.324351122,1.78E+12,30056.58622
2003,3.28637759,2.05E+12,34419.14791
2004,2.373951428,2.42E+12,40290.31397
2005,3.179728893,2.54E+12,42030.28661
2006,2.788324566,2.71E+12,44599.69757
2007,2.430553201,3.1E+12,50566.8266
2008,-0.281153556,2.92E+12,47286.99849
2009,-4.247821763,2.41E+12,38713.13743
2010,1.949521464,2.48E+12,39435.8399
2011,1.540147403,2.66E+12,42038.57225
2012,1.478923924,2.7E+12,42462.77157
2013,2.139485718,2.79E+12,43444.533
2014,2.607475901,3.06E+12,47425.60768
2015,2.355524306,2.93E+12,44974.83188
2016,1.918155132,2.69E+12,41064.13343
2017,1.892077007,2.67E+12,40361.41738
2018,1.340720602,2.86E+12,43043.22782
2019,1.462658202,2.83E+12,42330.11754
2020,..,..,..
